Carabidae,Ceratopogonidae,Chironomidae,Chthoniidae,Curculionidae,Entomobryidae,Hesperinidae,Hypogastruridae,Isotomidae,Neanuridae,Onychiuridae,Oribatida,Phlaeothripidae,Prostigmata,Salticidae,Scarabaeidae,Sciaridae,Scutigerellidae,Sicariidae,Sminthuridae,Tabanidae,Throscidae,Veliidae,Cayratia_japonica,Cirsium_japonicum,Geranium_carolinianum,Myosoton_aquaticum,Ophiopogon_japonicus,Plantago_major,Semiaquilegia_adoxoides,Serissa_japonica,Viola_prionantha,Artemisia_lavandulaefolia,Vicia_sepium,Oplismenus_undulatifolius,Solanum_nigrum,Dryopteris_championii,Acalypha_australis,Achyranthes_bidentata,Arthraxon_lanceolatus,Carex_breviculmis,Cenchrus_alopecuroides,Chenopodium_album,Cirsium_arvense,Corchoropsis_tomentosa,Cynanchum_japonicum,Digitaria_sanguinalis,Dioscorea_polystachya,Elymus_tsukushiensis,Equisetum_ramosissimum,Erigeron_annuus,Erigeron_canadensis,Glycine_max,Humulopsis_scandens,Ipomoea_purpurea,Lactuca_indica,Mazus_pumilus,Paederia_foetida,Perilla_frutescens,Persicaria_hydropiper,Persicaria_orientalis,Persicaria_perfoliata,Polygonum_aviculare,Setaria_viridis,Trichosanthes_kirilowii,Vigna_minima,Vincetoxicum_pubescens,Youngia_japonica,Artemisia_sylvatica,Bidens_pilosa,Carpesium_abrotanoides,Lophatherum_gracile,Lycopus_lucidus,Polypogon_fugax,Potentilla_indica,Sonchus_oleraceus,Hemistepta_lyrata,Poa_annua,Viola_philippica,Clerodendrum_trichotomum,Descurainia_sophia,Commelina_communis,Ixeris_chinensis,Lagopsis_supina,Oxalis_pes-caprae,Phytolacca_americana,Setaria_chondrachne,Stellaria_media,Torilis_japonica,Crepidiastrum_sonchifolium,Miscanthus_sinensis,Ranunculus_chinensis,Rehmannia_glutinosa,Veronica_persica,Euphorbia_helioscopia,Cynodon_dactylon,Ixeris_polycephala,Ajuga_ciliata,Avena_fatua,Imperata_cylindrica,Puccinellia_distans,Eschenbachia_blinii,Christella_acuminata,Justicia_procumbens,Trisetum_bifidum
1,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,5,17,0,0,0,1,0,0,0,0,0,44,36,3,0,7,5,0,0,11,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,8,0,3,0,74,0,0,0,0,0,0,0,0,0,7,0,0,0,40,41,0,0,2,73,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,3,32,0,0,0,3,5,0,0,0,0,40,0,45,0,3,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,7,0,0,0,8,0,0,0,0,0,0,0,0,0,2,0,0,0,100,45,0,0,2,102,5,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,58,8,0,0,0,0,0,0,0,0,0,32,0,4,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,27,0,4,0,0,0,0,2,0,0,0,0,0,0,5,0,2,1,16,0,17,0,0,0,0,0,0,0,13,0,0,0,77,6,0,0,2,55,0,20,0,0,0,0,0,0,0,0,0
0,0,0,0,0,2,0,0,2,0,0,3,0,2,0,0,0,0,0,0,0,0,0,23,0,0,2,0,1,0,0,1,12,0,27,3,0,5,92,70,21,5,10,2,60,2,12,13,20,10,47,3,2,5,6,8,15,3,31,2,2,6,8,6,8,25,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,2,0,0,0,0,0,0,10,0,5,0,0,0,1,0,0,1,1,0,28,0,0,3,29,3,0,0,5,2,0,47,0,0,2,53,75,0,0,8,9,48,2,12,7,20,0,58,10,15,5,0,0,20,0,74,3,0,0,0,35,6,5,0,0,0,0,9,68,0,0,44,0,0,10,0,6,0,17,10,9,7,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,1,0,1,0,0,4,0,4,0,0,0,0,0,0,0,0,0,19,0,2,23,0,1,0,6,0,8,0,88,0,1,15,49,97,21,8,7,12,60,1,23,0,13,0,64,16,3,11,0,0,0,0,23,22,1,1,16,0,14,0,0,1,1,6,4,150,0,5,48,3,0,0,0,5,4,19,0,0,0,0,18,0,0,9,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,1,0,0,7,0,0,0,2,8,0,0,6,2,2,0,0,4,9,0,0,0,0,6,63,70,0,2,0,2,0,2,0,0,0,30,0,0,0,7,0,0,0,0,1,2,2,0,11,12,9,20,2,0,5,0,2,5,1,0,0,0,0,0,4,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,5,7,4,15,18,0,0,0,0
0,0,0,5,0,1,0,2,0,0,0,0,0,0,1,0,0,0,6,0,0,0,2,19,0,0,0,0,2,0,0,6,0,0,55,0,0,5,84,87,53,0,0,16,10,3,0,3,0,50,9,11,0,7,0,0,0,0,0,7,0,0,5,4,0,1,4,0,0,0,0,20,3,0,0,0,0,0,0,38,0,12,0,0,0,0,0,4,0,0,20,0,0,0,0,0,0,31,0,0,0,2,16,77,6
0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,5,14,0,0,22,6,8,0,0,3,7,0,20,0,0,3,73,114,32,0,0,23,10,1,0,0,0,25,16,2,0,7,0,0,0,0,16,3,0,0,15,8,1,4,0,2,1,0,0,23,1,0,0,0,0,0,0,26,0,6,0,0,2,0,0,2,0,0,6,0,0,0,0,0,5,0,2,4,0,4,16,3,6
0,0,0,4,0,0,0,0,0,1,0,0,2,0,0,0,0,0,19,1,0,0,0,7,3,11,13,67,4,6,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
