"Observations" "1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12" "13" "14" "15" "16" "17" "18" "19" "20"
"1" "0" "0" "1" "2" "1" "2" "0" "4" "1" "0" "0" "0" "4" "0" "0" "0" "3" "0" "1" "1"
"2" "53" "5" "8" "0" "8" "0" "53" "5" "13" "18" "0" "12" "2" "19" "2" "15" "7" "0" "4" "2"
"3" "2" "3" "1" "4" "26" "6" "1" "2" "8" "6" "23" "6" "27" "34" "202" "3" "19" "10" "87" "14"
"4" "0" "5" "1" "0" "1" "4" "0" "2" "1" "3" "2" "0" "0" "2" "1" "10" "3" "5" "0" "1"
"5" "6" "0" "5" "5" "2" "6" "7" "4" "2" "0" "3" "2" "18" "24" "1" "17" "11" "33" "3" "4"
"6" "4" "1" "72" "1" "244" "5" "55" "6" "14" "16" "4" "9" "1" "51" "24" "13" "40" "35" "8" "16"
"7" "0" "6" "6" "5" "33" "12" "2" "2" "0" "2" "9" "2" "4" "20" "18" "13" "3" "5" "28" "30"
"8" "3" "3" "0" "0" "8" "5" "1" "0" "1" "2" "5" "0" "3" "2" "4" "3" "5" "2" "1" "0"
"9" "1" "0" "4" "1" "3" "1" "1" "0" "3" "0" "4" "21" "0" "2" "2" "1" "1" "0" "1" "0"
"10" "7" "1" "19" "3" "77" "38" "6" "0" "1" "5" "11" "1" "238" "13" "243" "56" "20" "13" "42" "25"
"11" "0" "1" "5" "4" "4" "15" "2" "1" "0" "12" "20" "10" "2" "13" "0" "1" "5" "1" "2" "1"
"12" "1" "0" "1" "0" "16" "4" "0" "2" "1" "8" "3" "1" "2" "6" "5" "0" "1" "0" "4" "3"
"13" "17" "0" "39" "2" "242" "7" "18" "5" "2" "3" "5" "7" "24" "210" "374" "14" "29" "14" "39" "10"
"14" "0" "3" "3" "2" "22" "3" "3" "1" "10" "0" "42" "3" "11" "22" "119" "11" "29" "22" "49" "12"
"15" "1" "0" "0" "1" "7" "6" "0" "0" "0" "0" "15" "1" "83" "6" "16" "0" "3" "18" "7" "0"
"16" "4" "1" "2" "0" "8" "1" "6" "1" "0" "1" "10" "2" "20" "4" "2" "1" "6" "1" "2" "7"
"17" "0" "0" "3" "2" "1" "2" "0" "1" "0" "7" "0" "1" "0" "4" "8" "1" "0" "5" "1" "0"
"18" "2" "3" "3" "2" "16" "4" "1" "0" "9" "11" "25" "9" "2" "100" "26" "8" "18" "36" "41" "7"
"19" "8" "6" "103" "0" "295" "65" "35" "4" "8" "34" "198" "1" "1" "576" "348" "18" "59" "19" "208" "82"
"20" "0" "5" "1" "0" "1" "0" "1" "0" "4" "0" "4" "2" "5" "10" "21" "2" "0" "2" "0" "3"
"21" "26" "23" "55" "5" "307" "2" "113" "4" "39" "18" "6" "1" "3" "109" "40" "60" "57" "5" "716" "105"
"22" "8" "1" "14" "4" "30" "25" "7" "6" "9" "22" "17" "1" "66" "243" "296" "31" "35" "34" "182" "63"
"23" "2" "0" "3" "2" "2" "11" "1" "0" "1" "4" "0" "5" "2" "6" "1" "10" "0" "5" "10" "0"
